id,year,statistic,name,team,value,top_25
1,1901,Complete Games,Joe McGinnity,Baltimore,39,Top 25
2,1901,ERA,Cy Young,Boston,1.62,Top 25
3,1901,Games,Joe McGinnity,Baltimore,48,Top 25
4,1901,Saves,Bill Hoffer,Cleveland,3,Top 25
5,1901,Shutouts,Clark Griffith,Chicago,5,Top 25
6,1901,Shutouts,Cy Young,Boston,5,Top 25
7,1901,Strikeouts,Cy Young,Boston,158,Top 25
8,1901,Winning Percentage,Clark Griffith,Chicago,.774,Top 25
9,1901,Wins,Cy Young,Boston,33,Top 25
10,1902,Complete Games,Cy Young,Boston,41,Top 25
11,1902,ERA,Ed Siever,Detroit,1.91,Top 25
12,1902,Games,Cy Young,Boston,45,Top 25
13,1902,Saves,Jack Powell,St. Louis,2,Top 25
14,1902,Shutouts,Addie Joss,Cleveland,5,Top 25
15,1902,Strikeouts,Rube Waddell,Philadelphia,210,Top 25
16,1902,Winning Percentage,Bill Bernhard,Philadelphia,.783,Top 25
17,1902,Winning Percentage,Bill Bernhard,Cleveland,.783,Top 25
18,1902,Wins,Cy Young,Boston,32,Top 25
19,1903,Complete Games,Bill Donovan,Detroit,34,Top 25
20,1903,Complete Games,Rube Waddell,Philadelphia,34,Top 25
21,1903,Complete Games,Cy Young,Boston,34,Top 25
22,1903,ERA,Earl Moore,Cleveland,1.74,Top 25
23,1903,Games,Eddie Plank,Philadelphia,43,Top 25
24,1903,Saves,Bill Dinneen,Boston,2,Top 25
25,1903,Saves,George Mullin,Detroit,2,Top 25
26,1903,Saves,Al Orth,Washington,2,Top 25
27,1903,Saves,Jack Powell,St. Louis,2,Top 25
28,1903,Saves,Cy Young,Boston,2,Top 25
29,1903,Shutouts,Cy Young,Boston,7,Top 25
30,1903,Strikeouts,Rube Waddell,Philadelphia,302,Top 25
31,1903,Winning Percentage,Cy Young,Boston,.757,Top 25
32,1903,Wins,Cy Young,Boston,28,Top 25
33,1904,Complete Games,Jack Chesbro,New York,48,Top 25
34,1904,ERA,Addie Joss,Cleveland,1.59,Top 25
35,1904,Games,Jack Chesbro,New York,55,Top 25
36,1904,Saves,Case Patten,Washington,3,Top 25
37,1904,Shutouts,Cy Young,Boston,10,Top 25
38,1904,Strikeouts,Rube Waddell,Philadelphia,349,Top 25
39,1904,Winning Percentage,Jack Chesbro,New York,.774,Top 25
40,1904,Wins,Jack Chesbro,New York,41,Top 25
41,1905,Complete Games,Harry Howell,St. Louis,35,Top 25
42,1905,Complete Games,George Mullin,Detroit,35,Top 25
43,1905,Complete Games,Eddie Plank,Philadelphia,35,Top 25
44,1905,ERA,Rube Waddell,Philadelphia,1.48,Top 25
45,1905,Games,Rube Waddell,Philadelphia,46,Top 25
46,1905,Saves,Jim Buchanan,St. Louis,2,Top 25
47,1905,Shutouts,Ed Killian,Detroit,8,Top 25
48,1905,Strikeouts,Rube Waddell,Philadelphia,287,Top 25
49,1905,Winning Percentage,Rube Waddell,Philadelphia,.730,Top 25
50,1906,Complete Games,Al Orth,New York,36,Top 25
51,1906,ERA,Doc White,Chicago,1.52,Top 25
52,1906,Games,Jack Chesbro,New York,49,Top 25
53,1906,Saves,Chief Bender,Philadelphia,3,Top 25
54,1906,Saves,Otto Hess,Cleveland,3,Top 25
55,1906,Shutouts,Ed Walsh,Chicago,10,Top 25
56,1906,Strikeouts,Rube Waddell,Philadelphia,196,Top 25
57,1906,Winning Percentage,Eddie Plank,Philadelphia,.760,Top 25
58,1906,Wins,Al Orth,New York,27,Top 25
59,1907,Complete Games,Ed Walsh,Chicago,37,Top 25
60,1907,ERA,Ed Walsh,Chicago,1.60,Top 25
61,1907,Games,Ed Walsh,Chicago,56,Top 25
62,1907,Saves,Bill Dinneen,Philadelphia,4,Top 25
63,1907,Saves,Bill Dinneen,St. Louis,4,Top 25
64,1907,Saves,Tom Hughes,Washington,4,Top 25
65,1907,Saves,Ed Walsh,Chicago,4,Top 25
66,1907,Shutouts,Eddie Plank,Philadelphia,8,Top 25
67,1907,Strikeouts,Rube Waddell,Philadelphia,232,Top 25
68,1907,Winning Percentage,Bill Donovan,Detroit,.862,Top 25
69,1907,Wins,Addie Joss,Cleveland,27,Top 25
70,1907,Wins,Doc White,Chicago,27,Top 25
71,1908,Complete Games,Ed Walsh,Chicago,42,Top 25
72,1908,ERA,Addie Joss,Cleveland,1.16,Top 25
73,1908,Games,Ed Walsh,Chicago,66,Top 25
74,1908,Saves,Ed Walsh,Chicago,6,Top 25
75,1908,Shutouts,Ed Walsh,Chicago,11,Top 25
76,1908,Strikeouts,Ed Walsh,Chicago,269,Top 25
77,1908,Winning Percentage,Ed Walsh,Chicago,.727,Top 25
78,1908,Wins,Ed Walsh,Chicago,40,Top 25
79,1909,Complete Games,Frank Smith,Chicago,37,Top 25
80,1909,ERA,Harry Krause,Philadelphia,1.39,Top 25
81,1909,Games,Frank Smith,Chicago,51,Top 25
82,1909,Saves,Frank Arellanes,Boston,8,Top 25
83,1909,Shutouts,Ed Walsh,Chicago,8,Top 25
84,1909,Strikeouts,Frank Smith,Chicago,177,Top 25
85,1909,Winning Percentage,George Mullin,Detroit,.784,Top 25
86,1909,Wins,George Mullin,Detroit,29,Top 25
87,1910,Complete Games,Walter Johnson,Washington,38,Top 25
88,1910,ERA,Ed Walsh,Chicago,1.27,Top 25
89,1910,Games,Ed Walsh,Chicago,45,Top 25
90,1910,Games,Jack Coombs,Philadelphia,45,Top 25
91,1910,Games,Walter Johnson,Washington,45,Top 25
92,1910,Saves,Ed Walsh,Chicago,5,Top 25
93,1910,Shutouts,Jack Coombs,Philadelphia,13,Top 25
94,1910,Strikeouts,Walter Johnson,Washington,313,Top 25
95,1910,Winning Percentage,Chief Bender,Philadelphia,.821,Top 25
96,1910,Wins,Jack Coombs,Philadelphia,31,Top 25
97,1911,Complete Games,Walter Johnson,Washington,36,Top 25
98,1911,ERA,Vean Gregg,Cleveland,1.80,Top 25
99,1911,Games,Ed Walsh,Chicago,56,Top 25
100,1911,Saves,Charley Hall,Boston,4,Top 25
101,1911,Saves,Eddie Plank,Philadelphia,4,Top 25
102,1911,Saves,Ed Walsh,Chicago,4,Top 25
103,1911,Shutouts,Eddie Plank,Philadelphia,6,Top 25
104,1911,Shutouts,Walter Johnson,Washington,6,Top 25
105,1911,Strikeouts,Ed Walsh,Chicago,255,Top 25
106,1911,Winning Percentage,Chief Bender,Philadelphia,.773,Top 25
107,1911,Wins,Jack Coombs,Philadelphia,28,Top 25
108,1912,Complete Games,Smoky Joe Wood,Boston,35,Top 25
109,1912,ERA,Walter Johnson,Washington,1.39,Top 25
110,1912,Games,Ed Walsh,Chicago,62,Top 25
111,1912,Saves,Ed Walsh,Chicago,10,Top 25
112,1912,Shutouts,Smoky Joe Wood,Boston,10,Top 25
113,1912,Strikeouts,Walter Johnson,Washington,303,Top 25
114,1912,Winning Percentage,Smoky Joe Wood,Boston,.872,Top 25
115,1912,Wins,Smoky Joe Wood,Boston,34,Top 25
116,1913,Complete Games,Walter Johnson,Washington,29,Top 25
117,1913,ERA,Walter Johnson,Washington,1.14,Top 25
118,1913,Games,Reb Russell,Chicago,52,Top 25
119,1913,Saves,Chief Bender,Philadelphia,13,Top 25
120,1913,Shutouts,Walter Johnson,Washington,11,Top 25
121,1913,Strikeouts,Walter Johnson,Washington,243,Top 25
122,1913,Winning Percentage,Walter Johnson,Washington,.837,Top 25
123,1913,Wins,Walter Johnson,Washington,36,Top 25
124,1914,Complete Games,Walter Johnson,Washington,33,Top 25
125,1914,ERA,Dutch Leonard,Boston,0.96,Top 25
126,1914,Games,Walter Johnson,Washington,51,Top 25
127,1914,Saves,Jack Bentley,Washington,4,Top 25
128,1914,Saves,Hooks Dauss,Detroit,4,Top 25
129,1914,Saves,Red Faber,Chicago,4,Top 25
130,1914,Saves,Roy Mitchell,St. Louis,4,Top 25
131,1914,Saves,Jim Shaw,Washington,4,Top 25
132,1914,Shutouts,Walter Johnson,Washington,9,Top 25
133,1914,Strikeouts,Walter Johnson,Washington,225,Top 25
134,1914,Winning Percentage,Chief Bender,Philadelphia,.850,Top 25
135,1914,Wins,Walter Johnson,Washington,28,Top 25
136,1915,Complete Games,Walter Johnson,Washington,35,Top 25
137,1915,ERA,Smoky Joe Wood,Boston,1.49,Top 25
138,1915,Games,Harry Coveleski,Detroit,50,Top 25
139,1915,Games,Red Faber,Chicago,50,Top 25
140,1915,Saves,Carl Mays,Boston,7,Top 25
141,1915,Shutouts,Walter Johnson,Washington,7,Top 25
142,1915,Shutouts,Jim Scott,Chicago,7,Top 25
143,1915,Strikeouts,Walter Johnson,Washington,203,Top 25
144,1915,Winning Percentage,Smoky Joe Wood,Boston,.750,Top 25
145,1915,Wins,Walter Johnson,Washington,27,Top 25
146,1916,Complete Games,Walter Johnson,Washington,36,Top 25
147,1916,ERA,Babe Ruth,Boston,1.75,Top 25
148,1916,Games,Dave Davenport,St. Louis,59,Top 25
149,1916,Saves,Bob Shawkey,New York,8,Top 25
150,1916,Shutouts,Babe Ruth,Boston,9,Top 25
151,1916,Strikeouts,Walter Johnson,Washington,228,Top 25
152,1916,Winning Percentage,Nick Cullop,New York,.684,Top 25
153,1916,Wins,Walter Johnson,Washington,25,Top 25
154,1917,Complete Games,Babe Ruth,Boston,35,Top 25
155,1917,ERA,Eddie Cicotte,Chicago,1.53,Top 25
156,1917,Games,Dave Danforth,Chicago,50,Top 25
157,1917,Saves,Dave Danforth,Chicago,9,Top 25
158,1917,Shutouts,Stan Coveleski,Cleveland,9,Top 25
159,1917,Strikeouts,Walter Johnson,Washington,188,Top 25
160,1917,Winning Percentage,Ed Klepfer,Cleveland,.778,Top 25
161,1917,Wins,Eddie Cicotte,Chicago,28,Top 25
162,1918,Complete Games,Carl Mays,Boston,30,Top 25
163,1918,Complete Games,Scott Perry,Philadelphia,30,Top 25
164,1918,ERA,Walter Johnson,Washington,1.27,Top 25
165,1918,Games,Jim Bagby,Cleveland,45,Top 25
166,1918,Games,George Mogridge,New York,45,Top 25
167,1918,Saves,George Mogridge,New York,7,Top 25
168,1918,Shutouts,Walter Johnson,Washington,8,Top 25
169,1918,Shutouts,Carl Mays,Boston,8,Top 25
170,1918,Strikeouts,Walter Johnson,Washington,162,Top 25
171,1918,Winning Percentage,Sam Jones,Boston,.762,Top 25
172,1918,Wins,Walter Johnson,Washington,23,Top 25
173,1919,Complete Games,Eddie Cicotte,Chicago,30,Top 25
174,1919,ERA,Walter Johnson,Washington,1.49,Top 25
175,1919,Games,Jim Shaw,Washington,45,Top 25
176,1919,Saves,Allan Russell,New York,5,Top 25
177,1919,Saves,Allan Russell,Boston,5,Top 25
178,1919,Saves,Bob Shawkey,New York,5,Top 25
179,1919,Saves,Jim Shaw,Washington,5,Top 25
180,1919,Shutouts,Walter Johnson,Washington,7,Top 25
181,1919,Strikeouts,Walter Johnson,Washington,147,Top 25
182,1919,Winning Percentage,Eddie Cicotte,Chicago,.806,Top 25
183,1919,Wins,Eddie Cicotte,Chicago,29,Top 25
184,1920,Complete Games,Jim Bagby,Cleveland,30,Top 25
185,1920,ERA,Bob Shawkey,New York,2.45,Top 25
186,1920,Games,Jim Bagby,Cleveland,48,Top 25
187,1920,Saves,Dickie Kerr,Chicago,5,Top 25
188,1920,Saves,Urban Shocker,St. Louis,5,Top 25
189,1920,Shutouts,Carl Mays,New York,6,Top 25
190,1920,Strikeouts,Stan Coveleski,Cleveland,133,Top 25
191,1920,Winning Percentage,Jim Bagby,Cleveland,.721,Top 25
192,1920,Wins,Jim Bagby,Cleveland,31,Top 25
193,1921,Complete Games,Red Faber,Chicago,32,Top 25
194,1921,ERA,Red Faber,Chicago,2.48,Top 25
195,1921,Games,Carl Mays,New York,49,Top 25
196,1921,Saves,Carl Mays,New York,7,Top 25
197,1921,Saves,Jim Middleton,Detroit,7,Top 25
198,1921,Shutouts,Sam Jones,Boston,5,Top 25
199,1921,Strikeouts,Walter Johnson,Washington,143,Top 25
200,1921,Winning Percentage,Carl Mays,New York,.750,Top 25
201,1921,Wins,Carl Mays,New York,27,Top 25
202,1921,Wins,Urban Shocker,St. Louis,27,Top 25
203,1922,Complete Games,Red Faber,Chicago,31,Top 25
204,1922,ERA,Red Faber,Chicago,2.81,Top 25
205,1922,Games,Eddie Rommel,Philadelphia,51,Top 25
206,1922,Saves,Sam Jones,New York,8,Top 25
207,1922,Shutouts,George Uhle,Cleveland,5,Top 25
208,1922,Strikeouts,Urban Shocker,St. Louis,149,Top 25
209,1922,Winning Percentage,Joe Bush,New York,.788,Top 25
210,1922,Wins,Eddie Rommel,Philadelphia,27,Top 25
211,1923,Complete Games,George Uhle,Cleveland,29,Top 25
212,1923,ERA,Stan Coveleski,Cleveland,2.76,Top 25
213,1923,Games,Eddie Rommel,Philadelphia,56,Top 25
214,1923,Saves,Allan Russell,Washington,9,Top 25
215,1923,Shutouts,Stan Coveleski,Cleveland,5,Top 25
216,1923,Strikeouts,Walter Johnson,Washington,130,Top 25
217,1923,Winning Percentage,Herb Pennock,New York,.760,Top 25
218,1924,Complete Games,Sloppy Thurston,Chicago,28,Top 25
219,1924,ERA,Walter Johnson,Washington,2.72,Top 25
220,1924,Games,Firpo Marberry,Washington,50,Top 25
221,1924,Saves,Firpo Marberry,Washington,15,Top 25
222,1924,Shutouts,Walter Johnson,Washington,6,Top 25
223,1924,Strikeouts,Walter Johnson,Washington,158,Top 25
224,1924,Winning Percentage,Walter Johnson,Washington,.767,Top 25
225,1925,Complete Games,Howard Ehmke,Boston,22,Top 25
226,1925,Complete Games,Sherry Smith,Cleveland,22,Top 25
227,1925,ERA,Stan Coveleski,Washington,2.84,Top 25
228,1925,Games,Firpo Marberry,Washington,55,Top 25
229,1925,Saves,Firpo Marberry,Washington,15,Top 25
230,1925,Shutouts,Ted Lyons,Chicago,5,Top 25
231,1925,Strikeouts,Lefty Grove,Philadelphia,116,Top 25
232,1925,Winning Percentage,Stan Coveleski,Washington,.800,Top 25
233,1925,Wins,Ted Lyons,Chicago,21,Top 25
234,1926,Complete Games,George Uhle,Cleveland,32,Top 25
235,1926,ERA,Lefty Grove,Philadelphia,2.51,Top 25
236,1926,Games,Firpo Marberry,Washington,64,Top 25
237,1926,Saves,Firpo Marberry,Washington,22,Top 25
238,1926,Shutouts,Ed Wells,Detroit,4,Top 25
239,1926,Strikeouts,Lefty Grove,Philadelphia,194,Top 25
240,1926,Winning Percentage,George Uhle,Cleveland,.711,Top 25
241,1927,Complete Games,Ted Lyons,Chicago,30,Top 25
242,1927,ERA,Wilcy Moore,New York,2.28,Top 25
243,1927,Games,Garland Braxton,Washington,58,Top 25
244,1927,Saves,Garland Braxton,Washington,13,Top 25
245,1927,Saves,Wilcy Moore,New York,13,Top 25
246,1927,Shutouts,Hod Lisenbee,Washington,4,Top 25
247,1927,Strikeouts,Lefty Grove,Philadelphia,174,Top 25
248,1927,Winning Percentage,Waite Hoyt,New York,.759,Top 25
249,1927,Wins,Waite Hoyt,New York,22,Top 25
250,1927,Wins,Ted Lyons,Chicago,22,Top 25
251,1928,Complete Games,Red Ruffing,Boston,25,Top 25
252,1928,ERA,Garland Braxton,Washington,2.51,Top 25
253,1928,Games,Firpo Marberry,Washington,48,Top 25
254,1928,Saves,Waite Hoyt,New York,8,Top 25
255,1928,Shutouts,Herb Pennock,New York,5,Top 25
256,1928,Strikeouts,Lefty Grove,Philadelphia,183,Top 25
257,1928,Winning Percentage,Alvin Crowder,St. Louis,.808,Top 25
258,1928,Wins,Lefty Grove,Philadelphia,24,Top 25
259,1929,Complete Games,Tommy Thomas,Chicago,24,Top 25
260,1929,ERA,Lefty Grove,Philadelphia,2.81,Top 25
261,1929,Games,Firpo Marberry,Washington,49,Top 25
262,1929,Saves,Firpo Marberry,Washington,11,Top 25
263,1929,Shutouts,George Blaeholder,St. Louis,5,Top 25
264,1929,Shutouts,Alvin Crowder,St. Louis,5,Top 25
265,1929,Shutouts,Dolly Gray,St. Louis,5,Top 25
266,1929,Shutouts,Danny MacFayden,Boston,5,Top 25
267,1929,Strikeouts,Lefty Grove,Philadelphia,170,Top 25
268,1929,Winning Percentage,Lefty Grove,Philadelphia,.769,Top 25
269,1930,Complete Games,Ted Lyons,Chicago,29,Top 25
270,1930,ERA,Lefty Grove,Philadelphia,2.54,Top 25
271,1930,Games,Lefty Grove,Philadelphia,50,Top 25
272,1930,Saves,Lefty Grove,Philadelphia,9,Top 25
273,1930,Shutouts,Clint Brown,Cleveland,3,Top 25
274,1930,Shutouts,George Earnshaw,Philadelphia,3,Top 25
275,1930,Shutouts,George Pipgras,New York,3,Top 25
276,1930,Strikeouts,Lefty Grove,Philadelphia,209,Top 25
277,1930,Winning Percentage,Lefty Grove,Philadelphia,.848,Top 25
278,1931,Complete Games,Wes Ferrell,Cleveland,27,Top 25
279,1931,Complete Games,Lefty Grove,Philadelphia,27,Top 25
280,1931,ERA,Lefty Grove,Philadelphia,2.06,Top 25
281,1931,Games,Bump Hadley,Washington,55,Top 25
282,1931,Saves,Wilcy Moore,Boston,10,Top 25
283,1931,Shutouts,Lefty Grove,Philadelphia,4,Top 25
284,1931,Strikeouts,Lefty Grove,Philadelphia,175,Top 25
285,1931,Winning Percentage,Lefty Grove,Philadelphia,.886,Top 25
286,1932,Complete Games,Lefty Grove,Philadelphia,27,Top 25
287,1932,ERA,Lefty Grove,Philadelphia,2.84,Top 25
288,1932,Games,Firpo Marberry,Washington,54,Top 25
289,1932,Saves,Firpo Marberry,Washington,13,Top 25
290,1932,Shutouts,Tommy Bridges,Detroit,4,Top 25
291,1932,Shutouts,Lefty Grove,Philadelphia,4,Top 25
292,1932,Strikeouts,Red Ruffing,New York,190,Top 25
293,1932,Winning Percentage,Johnny Allen,New York,.810,Top 25
294,1932,Wins,Alvin Crowder,Washington,26,Top 25
295,1933,Complete Games,Lefty Grove,Philadelphia,21,Top 25
296,1933,ERA,Monte Pearson,Cleveland,2.33,Top 25
297,1933,Games,Alvin Crowder,Washington,52,Top 25
298,1933,Saves,Jack Russell,Washington,13,Top 25
299,1933,Shutouts,Oral Hildebrand,Cleveland,6,Top 25
300,1933,Strikeouts,Lefty Gomez,New York,163,Top 25
301,1933,Winning Percentage,Lefty Grove,Philadelphia,.750,Top 25
302,1933,Wins,Lefty Grove,Philadelphia,24,Top 25
303,1934,Complete Games,Lefty Gomez,New York,25,Top 25
304,1934,ERA,Lefty Gomez,New York,2.33,Top 25
305,1934,Games,Jack Russell,Washington,54,Top 25
306,1934,Saves,Jack Russell,Washington,7,Top 25
307,1934,Shutouts,Mel Harder,Cleveland,6,Top 25
308,1934,Shutouts,Lefty Gomez,New York,6,Top 25
309,1934,Strikeouts,Lefty Gomez,New York,158,Top 25
310,1934,Winning Percentage,Lefty Gomez,New York,.839,Top 25
311,1935,Complete Games,Wes Ferrell,Boston,31,Top 25
312,1935,ERA,Lefty Grove,Boston,2.70,Top 25
313,1935,Games,Russ Van Atta,New York,58,Top 25
314,1935,Games,Russ Van Atta,St. Louis,58,Top 25
315,1935,Saves,Jack Knott,St. Louis,7,Top 25
316,1935,Shutouts,Schoolboy Rowe,Detroit,6,Top 25
317,1935,Strikeouts,Tommy Bridges,Detroit,163,Top 25
318,1935,Winning Percentage,Elden Auker,Detroit,.720,Top 25
319,1935,Wins,Wes Ferrell,Boston,25,Top 25
320,1936,Complete Games,Wes Ferrell,Boston,28,Top 25
321,1936,ERA,Lefty Grove,Philadelphia,2.81,Top 25
322,1936,Games,Russ Van Atta,St. Louis,52,Top 25
323,1936,Saves,Pat Malone,New York,9,Top 25
324,1936,Shutouts,Lefty Grove,Philadelphia,6,Top 25
325,1936,Strikeouts,Tommy Bridges,Detroit,175,Top 25
326,1936,Winning Percentage,Bump Hadley,New York,.778,Top 25
327,1936,Wins,Tommy Bridges,Detroit,23,Top 25
328,1937,Complete Games,Wes Ferrell,Boston,26,Top 25
329,1937,Complete Games,Wes Ferrell,Washington,26,Top 25
330,1937,ERA,Lefty Gomez,New York,2.33,Top 25
331,1937,Games,Clint Brown,Chicago,53,Top 25
332,1937,Saves,Clint Brown,Chicago,18,Top 25
333,1937,Shutouts,Lefty Gomez,New York,6,Top 25
334,1937,Strikeouts,Lefty Gomez,New York,194,Top 25
335,1937,Winning Percentage,Johnny Allen,Cleveland,.938,Top 25
336,1938,Complete Games,Bobo Newsom,St. Louis,31,Top 25
337,1938,ERA,Lefty Grove,Boston,3.08,Top 25
338,1938,Games,Johnny Humphries,Cleveland,45,Top 25
339,1938,Saves,Johnny Murphy,New York,11,Top 25
340,1938,Shutouts,Lefty Gomez,New York,4,Top 25
341,1938,Strikeouts,Bob Feller,Cleveland,240,Top 25
342,1938,Winning Percentage,Red Ruffing,New York,.750,Top 25
343,1939,Complete Games,Bobo Newsom,St. Louis,24,Top 25
344,1939,Complete Games,Bobo Newsom,Detroit,24,Top 25
345,1939,ERA,Lefty Grove,Boston,2.54,Top 25
346,1939,Games,Clint Brown,Chicago,61,Top 25
347,1939,Saves,Johnny Murphy,New York,19,Top 25
348,1939,Shutouts,Red Ruffing,New York,5,Top 25
349,1939,Strikeouts,Bob Feller,Cleveland,246,Top 25
350,1939,Winning Percentage,Lefty Grove,Boston,.789,Top 25
351,1940,Complete Games,Bob Feller,Cleveland,31,Top 25
352,1940,ERA,Bob Feller,Cleveland,2.61,Top 25
353,1940,Games,Bob Feller,Cleveland,43,Top 25
354,1940,Saves,Al Benton,Detroit,17,Top 25
355,1940,Shutouts,Bob Feller,Cleveland,4,Top 25
356,1940,Shutouts,Ted Lyons,Chicago,4,Top 25
357,1940,Shutouts,Al Milnar,Cleveland,4,Top 25
358,1940,Strikeouts,Bob Feller,Cleveland,261,Top 25
359,1940,Winning Percentage,Schoolboy Rowe,Detroit,.842,Top 25
360,1941,Complete Games,Thornton Lee,Chicago,30,Top 25
361,1941,ERA,Thornton Lee,Chicago,2.37,Top 25
362,1941,Games,Bob Feller,Cleveland,44,Top 25
363,1941,Saves,Johnny Murphy,New York,15,Top 25
364,1941,Shutouts,Bob Feller,Cleveland,6,Top 25
365,1941,Strikeouts,Bob Feller,Cleveland,260,Top 25
366,1941,Winning Percentage,Lefty Gomez,New York,.750,Top 25
367,1941,Wins,Bob Feller,Cleveland,25,Top 25
368,1942,Complete Games,Tiny Bonham,New York,22,Top 25
369,1942,Complete Games,Tex Hughson,Boston,22,Top 25
370,1942,ERA,Ted Lyons,Chicago,2.10,Top 25
371,1942,Games,Joe Haynes,Chicago,40,Top 25
372,1942,Saves,Johnny Murphy,New York,11,Top 25
373,1942,Shutouts,Tiny Bonham,New York,6,Top 25
374,1942,Strikeouts,Tex Hughson,Boston,113,Top 25
375,1942,Strikeouts,Bobo Newsom,Washington,113,Top 25
376,1942,Winning Percentage,Tiny Bonham,New York,.808,Top 25
377,1942,Wins,Tex Hughson,Boston,22,Top 25
378,1943,Complete Games,Spud Chandler,New York,20,Top 25
379,1943,Complete Games,Tex Hughson,Boston,20,Top 25
380,1943,ERA,Spud Chandler,New York,1.64,Top 25
381,1943,Games,Mace Brown,Boston,49,Top 25
382,1943,Saves,Gordon Maltzberger,Chicago,14,Top 25
383,1943,Shutouts,Spud Chandler,New York,5,Top 25
384,1943,Shutouts,Dizzy Trout,Detroit,5,Top 25
385,1943,Strikeouts,Allie Reynolds,Cleveland,151,Top 25
386,1943,Winning Percentage,Spud Chandler,New York,.833,Top 25
387,1943,Wins,Spud Chandler,New York,20,Top 25
388,1944,Complete Games,Dizzy Trout,Detroit,33,Top 25
389,1944,ERA,Dizzy Trout,Detroit,2.12,Top 25
390,1944,Games,Joe Heving,Cleveland,63,Top 25
391,1944,Saves,Joe Berry,Philadelphia,12,Top 25
